FIPS,STABRV,STATE,PROVIDERS
"47",TN,Tennessee,"41"
"19",IA,Iowa,"23"
"01",AL,Alabama,"16"
"26",MI,Michigan,"67"
"06",CA,California,"373"
"09",CT,Connecticut,"46"
"04",AZ,Arizona,"76"
"48",TX,Texas,"146"
"51",VA,Virginia,"80"
"17",IL,Illinois,"202"
"15",HI,Hawaii,"8"
"41",OR,Oregon,"72"
"44",RI,Rhode Island,"10"
"33",NH,New Hampshire,"20"
"29",MO,Missouri,"49"
"16",ID,Idaho,"17"
"46",SD,South Dakota,"6"
"42",PA,Pennsylvania,"97"
"40",OK,Oklahoma,"31"
"18",IN,Indiana,"63"
"34",NJ,New Jersey,"124"
"31",NE,Nebraska,"16"
"08",CO,Colorado,"79"
"36",NY,New York,"184"
"30",MT,Montana,"43"
"21",KY,Kentucky,"25"
"50",VT,Vermont,"18"
"11",DC,District of Columbia,"25"
"12",FL,Florida,"113"
"56",WY,Wyoming,"3"
"02",AK,Alaska,"15"
"24",MD,Maryland,"76"
"05",AR,Arkansas,"16"
"38",ND,North Dakota,"16"
"10",DE,Delaware,"11"
"35",NM,New Mexico,"14"
"49",UT,Utah,"35"
"54",WV,West Virginia,"12"
"20",KS,Kansas,"23"
"13",GA,Georgia,"59"
"28",MS,Mississippi,"1"
"27",MN,Minnesota,"69"
"45",SC,South Carolina,"19"
"53",WA,Washington,"84"
"22",LA,Louisiana,"34"
"23",ME,Maine,"17"
"39",OH,Ohio,"51"
"55",WI,Wisconsin,"38"
"37",NC,North Carolina,"82"
"25",MA,Massachusetts,"97"
"32",NV,Nevada,"18"
